position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,fen
7czlfwXV_ply_30,7czlfwXV,30,16,white,B3nJ,mocychess,1813,1825,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7czlfwXV_ply_30.png,g1h2,Kh2,r2q1rk1/pp3ppp/2pb4/3pnb1P/8/NP2P1P1/PB1PQ1B1/R4RK1 w - - 1 16
7vZtHfl1_ply_32,7vZtHfl1,32,17,white,juanchy10,Murat_Nuraev,1368,1390,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7vZtHfl1_ply_32.png,e1d1,Kd1,r2qkb1r/pp3p1p/4p1p1/2p3P1/1nPp1P2/7P/P5Q1/RNB1K1N1 w Qkq - 0 17
7vZtHfl1_ply_42,7vZtHfl1,42,22,white,juanchy10,Murat_Nuraev,1368,1390,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/7vZtHfl1_ply_42.png,f2g2,Kxg2,r3kb1r/pp3p1p/4p1p1/2p3P1/q1Pp1P2/7P/P2N1Kn1/R1B3N1 w kq - 0 22
84Cd8SoV_ply_35,84Cd8SoV,35,18,black,Leander_A,SantaBarbaraCuba,1756,1712,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/84Cd8SoV_ply_35.png,d7e7,Qxe7,2kr3r/1ppqPp1p/p2p2p1/4n2b/2B5/3PQ3/PPP4P/R4RK1 b - - 0 18
84Cd8SoV_ply_36,84Cd8SoV,36,19,white,Leander_A,SantaBarbaraCuba,1756,1712,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/84Cd8SoV_ply_36.png,e3a7,Qa7,2kr3r/1pp1qp1p/p2p2p1/4n2b/2B5/3PQ3/PPP4P/R4RK1 w - - 0 19
84Cd8SoV_ply_46,84Cd8SoV,46,24,white,Leander_A,SantaBarbaraCuba,1756,1712,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/84Cd8SoV_ply_46.png,b7c6,Qxc6+,3rk2r/1Q2qn1p/2pp2p1/7b/8/3P4/PPP4P/R4RK1 w - - 0 24
8aqmu3Cg_ply_30,8aqmu3Cg,30,16,white,RamoTX,Aaron2007cc,2073,2074,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/8aqmu3Cg_ply_30.png,d1f3,Qf3,r4rk1/ppp1npp1/1b5p/1P1n4/2BP3q/2P4P/P4P2/RNBQ1RK1 w - - 0 16
8aqmu3Cg_ply_33,8aqmu3Cg,33,17,black,RamoTX,Aaron2007cc,2073,2074,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/8aqmu3Cg_ply_33.png,b6a5,Ba5,3r1rk1/ppp1npp1/1b5p/1P1n4/2BP3q/N1P2Q1P/P4P2/R1B2RK1 b - - 3 17
8wxAmtWt_ply_35,8wxAmtWt,35,18,black,Fifth_DawG,MrMisheckNdeNde,1954,1977,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/8wxAmtWt_ply_35.png,d4d3,d3+,r4r2/ppBq2pk/2n2n1p/2b4b/2Np4/1B4QP/PPP3P1/R4RK1 b - - 2 18
8wxAmtWt_ply_49,8wxAmtWt,49,25,black,Fifth_DawG,MrMisheckNdeNde,1954,1977,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/8wxAmtWt_ply_49.png,e7d5,Ned5,2r2r1k/p2qn1p1/3N1n1p/1p5b/3b1B2/PB4QP/1P4P1/4RR1K b - - 3 25
