position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,budget_count,best_move_path,best_move_switch_count,unique_best_move_count,best_score_min_cp,best_score_max_cp,best_score_mean_cp,best_score_range_cp,adjacent_top3_overlap_min,adjacent_top3_overlap_mean,adjacent_top5_overlap_min,adjacent_top5_overlap_mean,best_pv_prefix_min_plies,best_pv_prefix_mean_plies,actual_move_present_budget_count,actual_move_rank_min,actual_move_rank_max,actual_move_rank_mean,actual_move_rank_range,actual_move_rank_path
03jEUl79_ply_18,03jEUl79,18,10,white,rrsa,Francictus,1988,2067,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_18.png,g5f4,Bf4,6,50ms:Nf5 | 200ms:Nf5 | 1000ms:Nf5 | 5000ms:Nf5 | 15000ms:Nf5 | 60000ms:Nf5,0,1,27,76,45.1667,49,0.5,0.7,0.4286,0.6381,2,3,2,8,8,8,0,50ms:8 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:8
4hP4UqNB_ply_56,4hP4UqNB,56,29,white,Shreeyansh0708,Guru-12345,1244,1240,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/4hP4UqNB_ply_56.png,f3d3,Rd3,6,50ms:Nd3 | 200ms:Nd3 | 1000ms:Nd3 | 5000ms:Nd3 | 15000ms:Nd3 | 60000ms:Nd3,0,1,-477,-383,-434.1667,94,0.2,0.64,0.4286,0.7524,2,3.4,6,3,5,3.6667,2,50ms:3 | 200ms:5 | 1000ms:4 | 5000ms:3 | 15000ms:3 | 60000ms:4
4hP4UqNB_ply_57,4hP4UqNB,57,29,black,Shreeyansh0708,Guru-12345,1244,1240,33,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/4hP4UqNB_ply_57.png,a6a5,a5,6,50ms:Rc3 | 200ms:b3 | 1000ms:b3 | 5000ms:b3 | 15000ms:b3 | 60000ms:b3,1,2,470,577,517.5,107,0.5,0.6,0.25,0.5548,0,1,6,2,3,2.1667,1,50ms:2 | 200ms:2 | 1000ms:2 | 5000ms:2 | 15000ms:3 | 60000ms:2
55UlGeb9_ply_18,55UlGeb9,18,10,white,mianfo,rafamoraes82,1115,1096,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_18.png,e1g1,O-O,6,50ms:O-O | 200ms:Qf3 | 1000ms:O-O | 5000ms:Qf3 | 15000ms:O-O | 60000ms:O-O,4,2,-21,0,-9.5,21,0.5,0.6,0.4286,0.6381,0,1,6,1,2,1.3333,1,50ms:1 | 200ms:2 | 1000ms:1 | 5000ms:2 | 15000ms:1 | 60000ms:1
55UlGeb9_ply_20,55UlGeb9,20,11,white,mianfo,rafamoraes82,1115,1096,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_20.png,a2b3,axb3,6,50ms:cxb3 | 200ms:cxb3 | 1000ms:axb3 | 5000ms:axb3 | 15000ms:cxb3 | 60000ms:axb3,3,2,32,43,38.5,11,0.5,0.9,0.6667,0.7333,0,0.4,6,1,2,1.5,1,50ms:2 | 200ms:2 | 1000ms:1 | 5000ms:1 | 15000ms:2 | 60000ms:1
55UlGeb9_ply_21,55UlGeb9,21,11,black,mianfo,rafamoraes82,1115,1096,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_21.png,c8b7,Bb7,6,50ms:Bd7 | 200ms:Bd7 | 1000ms:Bd7 | 5000ms:Bd7 | 15000ms:Bb7 | 60000ms:Bd7,2,2,-38,-30,-32.6667,8,0.5,0.9,0.6667,0.8667,0,1.2,6,1,2,1.8333,1,50ms:2 | 200ms:2 | 1000ms:2 | 5000ms:2 | 15000ms:1 | 60000ms:2
55UlGeb9_ply_23,55UlGeb9,23,12,black,mianfo,rafamoraes82,1115,1096,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_23.png,b5b4,b4,6,50ms:Be7 | 200ms:Be7 | 1000ms:Be7 | 5000ms:Be7 | 15000ms:Be7 | 60000ms:Be7,0,1,-40,-27,-30.5,13,0.2,0.64,0.6667,0.8,1,2,5,6,10,7.4,4,50ms:10 | 200ms:>10 | 1000ms:7 | 5000ms:6 | 15000ms:7 | 60000ms:7
55UlGeb9_ply_24,55UlGeb9,24,13,white,mianfo,rafamoraes82,1115,1096,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_24.png,c3a4,Na4,6,50ms:Na4 | 200ms:Na4 | 1000ms:Na4 | 5000ms:Na4 | 15000ms:Na4 | 60000ms:Na4,0,1,82,96,88.5,14,1.0,1.0,0.6667,0.9333,1,2,6,1,1,1,0,50ms:1 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
55UlGeb9_ply_25,55UlGeb9,25,13,black,mianfo,rafamoraes82,1115,1096,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_25.png,f8e7,Be7,6,50ms:Be7 | 200ms:Qc7 | 1000ms:Be7 | 5000ms:Be7 | 15000ms:h6 | 60000ms:h6,3,3,-98,-85,-89.3333,13,0.2,0.38,0.6667,0.8,0,0.4,6,1,2,1.5,1,50ms:1 | 200ms:2 | 1000ms:1 | 5000ms:1 | 15000ms:2 | 60000ms:2
55UlGeb9_ply_26,55UlGeb9,26,14,white,mianfo,rafamoraes82,1115,1096,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_26.png,c2c3,c3,6,50ms:c3 | 200ms:Re1 | 1000ms:Bxf6 | 5000ms:Re1 | 15000ms:Nc5 | 60000ms:c3,5,4,87,96,91.6667,9,0.5,0.6,0.4286,0.6857,0,0,6,1,3,2.1667,2,50ms:1 | 200ms:2 | 1000ms:3 | 5000ms:3 | 15000ms:3 | 60000ms:1
55UlGeb9_ply_27,55UlGeb9,27,14,black,mianfo,rafamoraes82,1115,1096,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_27.png,a6a5,a5,6,50ms:bxc3 | 200ms:bxc3 | 1000ms:bxc3 | 5000ms:bxc3 | 15000ms:Ne4 | 60000ms:bxc3,2,2,-96,-72,-85.6667,24,0.2,0.74,0.6667,0.8,0,3.4,6,2,7,5.1667,5,50ms:2 | 200ms:6 | 1000ms:6 | 5000ms:5 | 15000ms:5 | 60000ms:7
