position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white_elo,black_elo,white,black,fen,image_path,complexity_score,high_complexity,candidate_uci,candidate_san,candidate_role,forced_include_actual,is_actual_move,is_engine_best,actual_move_uci,actual_move_san,root_rank,root_eval_cp,root_value_cp,initial_gain_cp,distance_from_best_cp,viable_threshold_cp,acceptable_width_player_d1,acceptable_width_player_mean,acceptable_width_player_min,acceptable_width_d3,survival_rate_after_opponent,opponent_refutation_density,depth4_survival_rate,unique_burden_plies,longest_narrow_streak,deviation_penalty_cp_mean,deviation_penalty_cp_max,mean_margin_to_viable_cp,conversion_horizon_plies,conversion_success_within_horizon,maia_rank,maia_probability,realizability_score_v0
XihfAk9F_ply_52,XihfAk9F,52,27,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/n7/2PQ4/P3PNP1/4KP1P/8 w - - 0 27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_52.png,17,True,e2d3,Kd3,engine_topk,False,False,False,c4c5,c5,3,139,67,-72,72,139,0.25,0.2,0,0.0,0.25,1.0,0.0,1,1,32.8,164,25.0,2,False,4,0.0192,35.44
XihfAk9F_ply_53,XihfAk9F,53,27,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/n1P5/3Q4/P3PNP1/4KP1P/8 b - - 0 27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_53.png,16,True,a5b3,Nb3,engine_best,False,True,True,a5b3,Nb3,1,-9,-2,7,-7,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,1,0.6335,33.0
XihfAk9F_ply_54,XihfAk9F,54,28,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2P5/3Q4/Pn2PNP1/4KP1P/8 w - - 1 28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_54.png,32,True,d4c3,Qc3,actual_move,True,True,False,d4c3,Qc3,,22,-10,-32,32,80,2.25,2.5714,0,3.0,0.75,0.25,1.0,2,1,38.0,158,215.4444,4,True,3,0.1719,72.65
XihfAk9F_ply_54,XihfAk9F,54,28,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2P5/3Q4/Pn2PNP1/4KP1P/8 w - - 1 28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_54.png,32,True,d4d6,Qd6,engine_best,False,False,True,d4c3,Qc3,1,22,40,18,-18,80,0.5,1.0,0,2.0,0.5,0.75,1.0,3,2,181.1667,826,79.0,4,True,1,0.3059,36.81
XihfAk9F_ply_54,XihfAk9F,54,28,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2P5/3Q4/Pn2PNP1/4KP1P/8 w - - 1 28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_54.png,32,True,d4e5,Qe5,engine_topk,False,False,False,d4c3,Qc3,2,22,0,-22,22,80,0.25,1.0,0,4.0,0.25,0.75,1.0,1,1,10.0,50,31.6,4,True,6,0.0537,48.41
XihfAk9F_ply_54,XihfAk9F,54,28,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2P5/3Q4/Pn2PNP1/4KP1P/8 w - - 1 28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_54.png,32,True,d4f4,Qf4,engine_topk,False,False,False,d4c3,Qc3,3,22,-56,-78,78,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,12,0.0006,33.0
XihfAk9F_ply_55,XihfAk9F,55,28,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2P5/8/PnQ1PNP1/4KP1P/8 b - - 2 28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_55.png,17,True,b3c5,Nxc5,engine_best,False,True,True,b3c5,Nxc5,1,12,6,-6,6,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,1,0.9703,33.0
XihfAk9F_ply_56,XihfAk9F,56,29,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/8/P1Q1PNP1/4KP1P/8 w - - 0 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_56.png,45,True,f3d4,Nd4,actual_move,True,True,False,f3d4,Nd4,,-5,-37,-32,32,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,1,0.4346,33.0
XihfAk9F_ply_56,XihfAk9F,56,29,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/8/P1Q1PNP1/4KP1P/8 w - - 0 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_56.png,45,True,f3e5,Ne5,engine_best,False,False,True,f3d4,Nd4,1,-5,-9,-4,4,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,5,0.0669,33.0
XihfAk9F_ply_56,XihfAk9F,56,29,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/8/P1Q1PNP1/4KP1P/8 w - - 0 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_56.png,45,True,f3e1,Ne1,engine_topk,False,False,False,f3d4,Nd4,3,-5,-29,-24,24,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,13,0.0042,33.0
