position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white,black,complexity_score,image_path,candidate_count,actual_move_uci,actual_move_san,actual_candidate_available,actual_realizability_score_v0,actual_maia_probability,actual_maia_rank,engine_best_uci,engine_best_san,engine_best_realizability_score_v0,engine_best_maia_probability,engine_best_maia_rank,top_realizability_uci,top_realizability_san,top_realizability_score_v0,actual_minus_engine_best_realizability,actual_matches_engine_best,actual_matches_top_realizability,actual_beats_engine_best
119kM9Xj_ply_19,119kM9Xj,19,10,black,1173,themoreudontknow,pvalen,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_19.png,4,c8b8,Kb8,True,33.0,0.1071,2,c6a5,Na5,33.0,0.0611,5,c8b8,Kb8,33.0,0.0,False,True,False
119kM9Xj_ply_20,119kM9Xj,20,11,white,1288,themoreudontknow,pvalen,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_20.png,3,c1b1,Kb1,True,33.0,0.1756,2,h2h3,h3,49.1,0.5483,1,h2h3,h3,49.1,-16.1,False,False,False
119kM9Xj_ply_22,119kM9Xj,22,12,white,1288,themoreudontknow,pvalen,10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_22.png,3,c4b3,Bb3,True,44.81,0.12,2,e4d5,exd5,60.34,0.7578,1,e4d5,exd5,60.34,-15.53,False,False,False
119kM9Xj_ply_23,119kM9Xj,23,12,black,1173,themoreudontknow,pvalen,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_23.png,3,d5d4,d4,True,67.04,0.5673,1,d5d4,d4,67.04,0.5673,1,d5d4,d4,67.04,0.0,True,True,False
119kM9Xj_ply_24,119kM9Xj,24,13,white,1288,themoreudontknow,pvalen,11,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_24.png,1,e3g5,Bg5,True,40.92,0.9405,1,e3g5,Bg5,40.92,0.9405,1,e3g5,Bg5,40.92,0.0,True,True,False
119kM9Xj_ply_25,119kM9Xj,25,13,black,1173,themoreudontknow,pvalen,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_25.png,4,c6b4,Nb4,True,33.0,0.1872,2,h7h6,h6,48.41,0.2757,1,h7h6,h6,48.41,-15.41,False,False,False
119kM9Xj_ply_26,119kM9Xj,26,14,white,1288,themoreudontknow,pvalen,30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_26.png,3,a2a3,a3,True,46.73,0.1358,2,a2a3,a3,46.73,0.1358,2,h2h3,h3,50.22,0.0,True,False,False
119kM9Xj_ply_27,119kM9Xj,27,14,black,1173,themoreudontknow,pvalen,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_27.png,3,b4c6,Nc6,True,33.0,0.6407,1,h7h6,h6,33.0,0.0119,5,b4c6,Nc6,33.0,0.0,False,True,False
119kM9Xj_ply_28,119kM9Xj,28,15,white,1288,themoreudontknow,pvalen,11,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_28.png,4,d2c4,Nc4,True,33.0,0.0823,3,h2h3,h3,49.23,0.5527,1,h2h3,h3,49.23,-16.23,False,False,False
119kM9Xj_ply_29,119kM9Xj,29,15,black,1173,themoreudontknow,pvalen,23,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_29.png,4,h7h6,h6,True,33.0,0.3444,1,g4f3,Bxf3,54.11,0.0697,5,g4f3,Bxf3,54.11,-21.11,False,False,False
119kM9Xj_ply_30,119kM9Xj,30,16,white,1288,themoreudontknow,pvalen,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_30.png,3,g5f6,Bxf6,True,46.87,0.1563,3,g5f6,Bxf6,46.87,0.1563,3,g5d2,Bd2,62.5,0.0,True,False,False
119kM9Xj_ply_31,119kM9Xj,31,16,black,1173,themoreudontknow,pvalen,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_31.png,3,e7f6,Bxf6,True,33.0,0.612,1,e7f6,Bxf6,33.0,0.612,1,g4f3,Bxf3,43.11,0.0,True,False,False
119kM9Xj_ply_32,119kM9Xj,32,17,white,1288,themoreudontknow,pvalen,17,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_32.png,4,c4e5,Ncxe5,True,50.42,0.0096,7,b3a4,Ba4,47.74,0.1341,2,c4e5,Ncxe5,50.42,2.68,False,True,True
